description,genres,rating,title
"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Drama,"(9.3,)",The Shawshank Redemption
"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Crime,Drama","(9.2,)",The Godfather
"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Action,Crime,Drama","(9,)",The Dark Knight
"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama","(9,)",The Godfather Part II
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama","(9,)",12 Angry Men
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History","(9,)",Schindler's List
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama","(9,)",The Lord of the Rings: The Return of the King
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama","(8.9,)",Pulp Fiction
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama","(8.9,)",The Lord of the Rings: The Fellowship of the Ring
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Drama,Western","(8.8,)","The Good, the Bad and the Ugly"
"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Drama,Romance","(8.8,)",Forrest Gump
"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama","(8.8,)",The Lord of the Rings: The Two Towers
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,"(8.8,)",Fight Club
